dataset,train_size_per_class,fold,model,accuracy,f1_macro,auc_macro,balanced_accuracy,binary_accuracy,binary_f1,binary_auc,binary_balanced_acc
PPMI,89,7,XGBoost,0.6415094339622641,0.6365911365911366,0.8072362278244632,0.6437908496732025,0.8113207547169812,0.8571428571428571,0.8777777777777778,0.7896825396825397
PPMI,89,8,DCM-DNN,0.6792452830188679,0.686521786340298,0.8355975723622783,0.6786492374727668,0.8113207547169812,0.8529411764705882,0.8626984126984126,0.8031746031746032
PPMI,89,8,PlainDNN,0.6226415094339622,0.6288954038500317,0.8155073140367257,0.6220043572984749,0.7735849056603774,0.8235294117647058,0.8182539682539683,0.7611111111111111
PPMI,89,8,LR,0.6226415094339622,0.6234507577520282,0.7799953314659197,0.6220043572984749,0.8113207547169812,0.8529411764705882,0.8087301587301587,0.8031746031746032
PPMI,89,8,RF,0.6037735849056604,0.60997360997361,0.8030112044817926,0.6023965141612201,0.6981132075471698,0.7714285714285715,0.7976190476190477,0.6634920634920636
PPMI,89,8,XGBoost,0.6415094339622641,0.6475579975579976,0.7903439153439153,0.6416122004357298,0.7547169811320755,0.8169014084507042,0.7944444444444445,0.71984126984127
PPMI,89,9,DCM-DNN,0.6226415094339622,0.6070175438596491,0.815639589169001,0.6252723311546841,0.7735849056603774,0.8235294117647058,0.8643790849673203,0.7712418300653594
PPMI,89,9,PlainDNN,0.6037735849056604,0.611111111111111,0.8086212262682851,0.6034858387799563,0.7547169811320755,0.821917808219178,0.8496732026143791,0.7107843137254902
PPMI,89,9,LR,0.6415094339622641,0.6402116402116401,0.8351229380641145,0.6416122004357298,0.7547169811320755,0.8169014084507042,0.8545751633986929,0.7263071895424837
PPMI,89,9,RF,0.6226415094339622,0.6258154706430569,0.7909430438842203,0.6209150326797386,0.7924528301886793,0.8571428571428571,0.8545751633986929,0.7230392156862745
PPMI,89,9,XGBoost,0.5660377358490566,0.5564102564102564,0.7533613445378151,0.5642701525054467,0.6981132075471698,0.7837837837837838,0.8251633986928105,0.6380718954248366
PPMI,89,10,DCM-DNN,0.5925925925925926,0.589033189033189,0.7901234567901234,0.5925925925925926,0.7037037037037037,0.7647058823529411,0.8001543209876544,0.6944444444444444
PPMI,89,10,PlainDNN,0.5740740740740741,0.5688311688311688,0.7885802469135802,0.5740740740740741,0.7037037037037037,0.7647058823529411,0.8001543209876544,0.6944444444444444
PPMI,89,10,LR,0.6296296296296297,0.6351897743576366,0.7901234567901234,0.6296296296296297,0.7222222222222222,0.8,0.7893518518518519,0.6666666666666667
PPMI,89,10,RF,0.6111111111111112,0.6187191976665661,0.7638888888888888,0.6111111111111112,0.7222222222222222,0.7887323943661971,0.7800925925925927,0.6944444444444444
PPMI,89,10,XGBoost,0.5555555555555556,0.556472881550281,0.7196502057613169,0.5555555555555555,0.6666666666666666,0.7567567567567568,0.724537037037037,0.6111111111111112
