train_size_per_class,fold,model,eval_dataset,accuracy,f1_macro,auc_macro,balanced_accuracy,binary_accuracy,binary_f1,binary_auc,binary_balanced_acc
1000,1,LR,NACC,0.9917898193760263,0.9917663346771488,0.9994322143819755,0.9917081260364843,1.0,1.0,1.0,1.0
1000,1,LR,PPMI,0.7111111111111111,0.7130952380952381,0.8634905575133279,0.7198879551820728,0.8222222222222222,0.8709677419354839,0.8755760368663594,0.7926267281105991
1000,1,RF,NACC,0.9408866995073891,0.9406416278181401,0.9940793490788614,0.9406887132962639,0.9638752052545156,0.972636815920398,0.9971496005809731,0.9631082062454612
1000,1,RF,PPMI,0.6888888888888889,0.7002554278416347,0.8265903135447727,0.6918767507002802,0.8,0.8524590163934426,0.8110599078341014,0.7764976958525346
1000,1,XGBoost,NACC,0.9622331691297209,0.9621467970353312,0.9969833716915302,0.9621500341430105,0.9852216748768473,0.9888751545117429,0.9989832970225127,0.9840232389251997
1000,1,XGBoost,PPMI,0.7555555555555555,0.7579022988505747,0.8164362519201229,0.7633053221288515,0.8,0.8524590163934426,0.7949308755760369,0.7764976958525346
1000,2,DCM-DNN,NACC,0.9634551495016611,0.9632466127063951,0.9983817244982275,0.9642187370342711,0.9833887043189369,0.9873737373737373,0.9996277961811888,0.9875311720698254
1000,2,DCM-DNN,PPMI,0.6078431372549019,0.5642342342342342,0.8188920215528018,0.5655080213903743,0.7843137254901961,0.8307692307692308,0.9290657439446366,0.7794117647058822
1000,2,PlainDNN,NACC,0.9700996677740864,0.9699724110749828,0.9974945375657297,0.9706912289436561,0.9900332225913622,0.992462311557789,0.9989082021314872,0.9925187032418953
1000,2,PlainDNN,PPMI,0.6274509803921569,0.614977359804946,0.834642774178629,0.613339275103981,0.7843137254901961,0.8493150684931506,0.9134948096885813,0.7205882352941176
1000,2,LR,NACC,0.9916943521594684,0.9916855866222954,0.9999917138266653,0.9919093851132686,1.0,1.0,1.0,1.0
1000,2,LR,PPMI,0.6470588235294118,0.60997150997151,0.8393450457941568,0.6084373143196672,0.803921568627451,0.8484848484848485,0.9256055363321799,0.7941176470588235
1000,2,RF,NACC,0.9401993355481728,0.9397648711307368,0.9925798922853816,0.9410683698757891,0.9717607973421927,0.9783989834815756,0.9974442004441633,0.9775623131226661
1000,2,RF,PPMI,0.5882352941176471,0.5858585858585857,0.795953598408556,0.5837789661319074,0.8235294117647058,0.8695652173913043,0.9048442906574394,0.7941176470588236
1000,2,XGBoost,NACC,0.9534883720930233,0.9534696816081444,0.995914513055285,0.9539328500638455,0.9817275747508306,0.986198243412798,0.9989950496892098,0.9825622510886962
1000,2,XGBoost,PPMI,0.5882352941176471,0.5704980842911878,0.7777349458533088,0.5666963755199049,0.7843137254901961,0.8405797101449275,0.8858131487889273,0.75
1000,3,DCM-DNN,NACC,0.9729272419627749,0.9727213948237013,0.9982602995377668,0.9729443333504247,0.9898477157360406,0.9923469387755102,0.9994731025265376,0.989860436425322
1000,3,DCM-DNN,PPMI,0.6774193548387096,0.6830619921325408,0.7958152958152959,0.6772727272727272,0.8064516129032258,0.8604651162790697,0.8904761904761905,0.7654761904761904
1000,3,PlainDNN,NACC,0.9576988155668359,0.9572557468089579,0.9970147440236697,0.957707186858746,0.9796954314720813,0.9846153846153847,0.9988433957899607,0.980973860744853
1000,3,PlainDNN,PPMI,0.6774193548387096,0.6767806267806268,0.8129689754689754,0.6772727272727272,0.7903225806451613,0.8354430379746836,0.8797619047619047,0.7928571428571429
1000,3,LR,NACC,0.988155668358714,0.9881059587102543,0.9995099944958264,0.988155668358714,0.9983079526226735,0.9987261146496815,1.0,0.9987277353689568
